experiment,hour,date_of_week,date_of_month,month,device_make
0,21,6,5,7,12
0,10,3,9,7,69
1,6,0,6,7,12
1,9,5,4,7,12
1,12,6,5,7,12
0,15,4,3,7,12
1,11,6,5,7,44
0,4,5,4,7,12
1,8,4,10,7,42
1,15,2,8,7,12
1,11,3,9,7,12
0,15,4,3,7,45
1,20,2,8,7,12
0,5,1,7,7,24
0,21,2,8,7,19
1,12,4,3,7,46
1,11,4,3,7,12
1,8,6,5,7,12
1,19,2,8,7,12
0,5,5,4,7,12
1,7,5,4,7,10
1,20,2,8,7,12
0,5,4,10,7,12
0,9,4,10,7,12
0,7,4,10,7,63
1,12,4,3,7,29
1,2,4,10,7,25
1,10,6,5,7,17
0,15,4,3,7,12
1,13,3,9,7,12
0,15,4,3,7,12
1,8,4,3,7,108
1,10,3,9,7,64
0,20,5,4,7,78
1,16,2,8,7,40
0,15,4,3,7,62
0,3,5,4,7,108
1,20,2,8,7,95
0,4,6,5,7,65
0,15,4,3,7,12
0,11,3,9,7,12
1,15,2,8,7,22
1,16,2,8,7,12
1,6,5,4,7,39
1,8,0,6,7,63
0,15,4,3,7,12
0,10,3,9,7,17
1,6,4,10,7,12
0,15,5,4,7,61
1,10,4,3,7,45
1,11,5,4,7,24
1,4,4,10,7,42
1,9,4,3,7,12
0,15,4,3,7,40
0,15,4,3,7,12
1,20,3,9,7,12
1,18,2,8,7,12
1,12,4,3,7,12
0,15,4,3,7,12
1,14,1,7,7,12
1,14,3,9,7,12
0,10,4,10,7,11
0,3,1,7,7,12
1,4,6,5,7,12
1,15,6,5,7,40
1,0,4,3,7,12
0,16,6,5,7,12
1,18,2,8,7,24
0,18,3,9,7,68
0,9,4,10,7,12
0,15,4,3,7,12
0,16,4,10,7,12
0,16,4,10,7,44
0,14,3,9,7,69
0,1,3,9,7,12
1,15,2,8,7,12
0,1,4,10,7,12
1,14,3,9,7,25
1,6,5,4,7,12
1,22,3,9,7,51
1,5,6,5,7,12
0,15,4,3,7,50
1,8,3,9,7,68
0,4,4,10,7,12
0,19,6,5,7,69
1,22,6,5,7,49
0,9,3,9,7,108
0,15,4,3,7,12
1,18,2,8,7,63
1,4,0,6,7,12
1,15,2,8,7,36
1,6,3,9,7,17
1,17,2,8,7,12
0,22,3,9,7,12
1,20,1,7,7,12
0,15,4,3,7,52
1,5,2,8,7,12
1,14,3,9,7,12
0,15,4,10,7,65
1,6,5,4,7,12
0,20,2,8,7,12
0,20,2,8,7,12
0,15,4,3,7,61
0,19,2,8,7,12
0,15,4,3,7,12
0,15,4,3,7,38
1,18,2,8,7,63
0,15,4,3,7,61
1,14,5,4,7,12
0,2,2,8,7,12
0,15,4,3,7,78
0,15,4,3,7,12
1,22,2,8,7,12
1,17,4,10,7,12
1,16,2,8,7,66
0,15,4,3,7,22
1,10,4,3,7,68
0,15,4,3,7,34
0,14,2,8,7,12
1,16,4,10,7,12
0,11,5,4,7,50
0,19,6,5,7,12
1,12,5,4,7,42
1,1,0,6,7,12
0,17,4,10,7,5
0,15,4,3,7,12
0,2,4,10,7,49
1,4,4,10,7,12
1,16,5,4,7,84
0,15,4,3,7,12
0,3,4,10,7,77
1,8,6,5,7,12
1,16,2,8,7,12
0,15,4,3,7,12
1,7,3,9,7,12
1,15,4,10,7,12
1,4,2,8,7,82
1,14,4,3,7,62
0,15,4,3,7,62
0,15,4,3,7,65
1,7,4,3,7,20
1,15,4,10,7,12
1,15,3,9,7,12
0,5,0,6,7,12
1,19,3,9,7,12
1,18,3,9,7,65
0,1,6,5,7,39
1,10,4,3,7,12
1,6,4,3,7,12
1,9,1,7,7,12
0,15,4,3,7,21
0,13,1,7,7,12
0,15,4,3,7,12
0,15,4,3,7,41
0,15,4,3,7,19
0,21,6,5,7,12
0,0,5,4,7,102
1,6,6,5,7,12
1,22,3,9,7,12
1,22,2,8,7,12
0,15,4,3,7,12
1,13,5,4,7,12
0,15,4,3,7,41
0,15,4,3,7,65
1,21,2,8,7,19
0,15,4,3,7,12
1,21,3,9,7,65
0,14,3,9,7,12
0,16,2,8,7,12
1,20,1,7,7,45
0,15,4,3,7,57
1,8,6,5,7,65
0,15,4,10,7,12
1,3,4,10,7,12
0,10,4,10,7,106
1,0,4,10,7,41
0,2,4,10,7,12
0,5,1,7,7,12
1,9,0,6,7,12
0,15,4,3,7,108
0,15,4,3,7,12
1,13,5,4,7,9
1,2,1,7,7,12
0,13,3,9,7,74
0,14,5,4,7,51
0,15,4,3,7,63
1,6,0,6,7,12
1,8,5,4,7,12
1,6,6,5,7,12
1,12,4,3,7,12
1,16,2,8,7,12
0,18,2,8,7,12
1,16,5,4,7,58
0,10,1,7,7,61
1,13,4,3,7,54
1,5,4,3,7,12
1,9,3,9,7,12
0,15,4,3,7,69
1,18,3,9,7,12
0,15,4,3,7,12
1,16,5,4,7,12
0,15,4,3,7,44
1,10,5,4,7,66
1,2,0,6,7,24
1,13,4,3,7,12
1,16,6,5,7,12
0,9,5,4,7,82
0,19,2,8,7,12
0,15,4,3,7,78
0,15,4,3,7,68
1,9,1,7,7,12
